Rank,Title,Author,Rating,Rating Count,Score,People Voted,Image
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,9228216,4022255,40910,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,3584219,3196853,32657,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2._SY75_.jpg
3,Pride and Prejudice,Jane Austen,4.29,4479689,2834565,29059,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg
4,To Kill a Mockingbird,Harper Lee,4.26,6507363,2503818,25570,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg
5,The Book Thief,Markus Zusak (Goodreads Author),4.39,2722178,1885264,19374,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,6946016,1721554,17546,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg
7,Animal Farm,George Orwell,4.00,4171799,1617451,16749,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,138896,1569919,16267,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30._SX50_.jpg
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,681185,1482397,15448,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127._SY75_.jpg
10,The Fault in Our Stars,John Green (Goodreads Author),4.13,5438737,1370422,14185,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg
11,The Picture of Dorian Gray,Oscar Wilde,4.13,1691708,1294350,13509,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg
